seed,lambda_cvar,robust_M,cvar_q,setpoint,rmse,mae,iae_h,ise_h,peak_overshoot,peak_overshoot_pct,final_abs_error,time_in_band_pct,practical_settling_h,first_band_lock_h,band_lock_fraction_pct,mean_amplitude,max_amplitude,amplitude_energy_h,mean_abs_EF,max_abs_EF,EF_energy_h,mean_abs_pid_command,final_Kp,final_Ki,final_Kd,mean_logged_objective,max_logged_objective
1,0.6,5,0.8,25,6.88146230631859,4.3463839243218,347.710464273672,3788.35447401493,1.11489697867789,4.45958791471156,1.66915705609737,28.8204761040014,36.3578611111111,30,63.4146341463415,0.0193975989309523,0.0219823950477351,0.0310437771666261,0.00343625544801712,0.00965565278814802,0.00241556414846595,0.0967729942706918,0.00224683678928606,5.72e-06,2.02389777085838e-05,6684.88218105792,31559.5872189918
1,0,5,0.8,25,7.15293040172144,4.91341177015366,393.072707131765,4093.14576664278,1.39575106401221,5.58300425604884,1.70942154520468,21.7057563521679,44.2801111111111,42,48.780487804878,0.0190079894314944,0.0225527203948478,0.0298302485459509,0.00336723621400071,0.00990616523304046,0.00232113691993485,0.0948249467736193,0.00203972046807277,5e-06,3.6163860860883e-05,4669.52208128648,29294.8660826233
2,0.6,5,0.8,25,6.70060511265707,4.17878118877797,334.30223349839,3591.8412098779,2.03517059217835,8.14068236871341,2.19303937522142,22.1984992366322,30.9436666666667,24,70.7317073170732,0.0179767780089671,0.0209459986014659,0.0264869420085085,0.00344683416093005,0.00995773596614765,0.00241434867333523,0.08966888998074,0.00215547751656954,5.9e-06,1.3817969652931e-08,6691.27654940945,29537.5348988043
2,0,5,0.8,25,6.72583620335906,4.22900588660243,338.320210704208,3618.94231991296,2.30113154652769,9.20452618611074,2.19413879151426,22.8157906889616,31.0161111111111,24,70.7317073170732,0.0179685855772273,0.0212524553252743,0.0264707472573164,0.00344526335867663,0.0101034256130724,0.00241287248250496,0.0896279278220364,0.002108807889709,5.9e-06,1.03887790183591e-05,4521.95745401848,27150.8692768302
3,0.6,5,0.8,25,6.4190185122649,3.85149935370231,308.119663018722,3296.2962107904,2.17314486373349,8.69257945493395,3.24297600912026,30.2648506024824,30.5361666666667,28,65.8536585365854,0.0171971309720799,0.0199349972267857,0.0242041237206101,0.00350038984732451,0.0100611492981725,0.00248645819317924,0.085770654815409,0.00215406160975823,5.54e-06,6.01805392433389e-05,6041.52127133019,28709.9963289822
3,0,5,0.8,25,6.47710569997495,4.05714982914142,324.571706557697,3356.22419727006,2.11305266569054,8.45221066276217,3.258000045782,25.404262012409,36.2940555555556,34,58.5365853658537,0.0170810591486856,0.0198864091745488,0.0238681003492907,0.00347676374690878,0.0100366270149687,0.00245193856189854,0.0851902956986115,0.00193526495873778,5.36e-06,9.36812724973432e-05,3746.56342035259,24486.413101762
4,0.6,5,0.8,25,5.25415659832336,3.21986609472145,257.589018519067,2208.48500190212,4.35446693895198,17.4178677558079,0.811954947465363,33.5815508397393,18.1775555555556,20,75.609756097561,0.0126415783089392,0.0152220128087644,0.012969960874981,0.00263976885284594,0.00788140798593851,0.00140228072851853,0.0629928911098102,0.00224906805422784,6.26e-06,3.21214622801329e-05,5999.78489306471,29127.5896089906
4,0,5,0.8,25,5.23874882949662,3.23663361029041,258.930420359115,2195.55121672692,6.13476314131089,24.5390525652436,0.802683683549891,34.4672796988612,72.4324166666667,18,78.0487804878049,0.0126989943041316,0.0162426485312758,0.0130944643948586,0.00265175828832133,0.00840985626903967,0.00141574178671445,0.0632799710857056,0.00213554831445346,6.44e-06,1.80048740126868e-06,4197.45523115312,26999.4040918003
5,0.6,5,0.8,25,6.07460754091615,3.66201993208865,292.961313591389,2952.060795944,3.28518505351216,13.1407402140486,2.5542904635353,36.3872095877744,41.2239722222222,22,73.1707317073171,0.0160803660617091,0.0195365200202314,0.0211611154636003,0.00300553381203641,0.00905404544887177,0.00183298880031645,0.0801868305385341,0.00223891613375116,6.44e-06,8.43789939493333e-05,5860.40185987282,33880.541501559
5,0,5,0.8,25,5.9362625517362,3.5062577650739,280.500336000172,2819.12925483972,2.7812130018618,11.1248520074472,2.54732883250344,38.4888408024858,20.4754722222222,22,73.1707317073171,0.0161414581391881,0.019173937608165,0.0212841689778859,0.00301695245053337,0.00888600950212123,0.00184364785886016,0.0804922909259348,0.00224232662879522,6.8e-06,2.04563395299215e-06,4168.32589912212,30216.9138360141
