Evaluation,Start,Kp,Ki,Kd,Objective,TrackingCost,AmplitudeCost,A_Saturation_pct,SuccessfulCases,FailedCases,Status,Timestamp
1,1,0.015,1e-05,1e-08,1949630.79914563,1949630.79903301,0.00011261481581924,0,1,0,valid,2026-08-06 12:00:06
2,1,0.0164170235643645,1e-05,1e-08,1931256.41550009,1931256.41537351,0.00012657432022667,0,1,0,valid,2026-08-06 12:00:51
3,1,0.015,1.13328508972361e-05,1e-08,1941084.88059133,1941084.88047222,0.000119113516317027,0,1,0,valid,2026-08-06 12:01:36
4,1,0.015,1e-05,8.29354908831333e-09,1949630.79914543,1949630.79903282,0.000112614815819379,0,1,0,valid,2026-08-06 12:02:21
5,1,0.0159408741715098,1.0874325618904e-05,8.82213594445621e-09,1931743.07275814,1931743.07263194,0.000126205408013713,0,1,0,valid,2026-08-06 12:03:06
6,1,0.0165764920562125,1.1488909914893e-05,1.11204874113372e-08,1918968.70707745,1918968.70694156,0.000135885085543023,0,1,0,valid,2026-08-06 12:03:51
7,1,0.017378833416219,1.22936699358167e-05,1.29377691781778e-08,1902613.01396064,1902613.01381236,0.000148281175381979,0,1,0,valid,2026-08-06 12:04:35
8,1,0.0181881961770801,1.07246753329123e-05,1.08853763788952e-08,1902443.41008052,1902443.40993211,0.000148409188217441,0,1,0,valid,2026-08-06 12:05:19
9,1,0.0198208668242788,1.04301144376813e-05,1.13614014200901e-08,1881736.41388041,1881736.41371634,0.000164063395517538,0,1,0,valid,2026-08-06 12:06:04
10,1,0.0198208668242788,1.0874325618904e-05,1.47662663674711e-08,1878606.12994803,1878606.1297816,0.000166433050735441,2.4390243902439,1,0,valid,2026-08-06 12:06:48
11,1,0.0217880633182057,1.0874325618904e-05,1.93637189406661e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:07:34
12,1,0.0229310354476524,1.2459565072403e-05,2.02757490185822e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:08:18
13,1,0.0256102237057232,1.02372253433057e-05,2.0910282215644e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:09:04
14,1,0.0269843000334237,1.19309366617883e-05,3.72589853392435e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:09:49
15,1,0.0252400464778366,1.15412894964938e-05,2.72861840231166e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:10:35
16,1,0.0216425160722397,1.07909907164064e-05,1.506117813886e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:11:22
17,1,0.0243515534586435,1.13501109592279e-05,2.34326366085448e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:12:07
18,1,0.0223603740950732,1.1646590178399e-05,1.98138948279104e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:12:51
19,1,0.0237154149675547,1.05520829693642e-05,2.01204802224146e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:13:35
20,1,0.0235265329129117,1.1204034749757e-05,2.29500093782327e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:14:20
21,1,0.0217152980941763,1.08325968892616e-05,1.7061413618785e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:15:05
22,1,0.0230756397626689,1.11102792591146e-05,2.12905953518497e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:15:50
23,1,0.0220743915550397,1.12554270117938e-05,1.9587366987703e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:16:34
24,1,0.0227546102372617,1.07122760218711e-05,1.97380631355305e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:17:19
25,1,0.0226595311663749,1.10382418725689e-05,2.10723420492182e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:18:04
26,1,0.0217516828762008,1.08534459238714e-05,1.8171906828554e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:18:49
27,1,0.022432941505349,1.09918195050086e-05,2.03017564695254e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:19:33
28,1,0.0219312664262149,1.10636260744392e-05,1.94751854455342e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:20:18
29,1,0.0222718966807657,1.07930681169504e-05,1.95498933898376e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:21:02
30,1,0.0222242393107088,1.09560497872847e-05,2.01979486912068e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:21:47
31,1,0.0217698736484761,1.08638819375104e-05,1.87572598896111e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:22:32
32,1,0.0221107273635518,1.09329520585535e-05,1.9826564940001e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:23:17
33,1,0.0218596740883828,1.09686642361711e-05,1.9419363118463e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:24:01
34,1,0.022030099763429,1.08336386131344e-05,1.94565581712342e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:24:45
35,1,0.022006246994518,1.09151292914223e-05,1.9775938526979e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:25:30
36,1,0.0217789686222545,1.08691028195725e-05,1.90578009547373e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:26:14
37,1,0.0219494455448857,1.09036087417737e-05,1.95936203595223e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:27:03
38,1,0.0218238709407244,1.09214171445254e-05,1.93915187989146e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:30:39
39,1,0.0219091089268545,1.0853967542485e-05,1.94100767337815e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:31:24
40,1,0.0218971772030446,1.0894712862019e-05,1.95686202010311e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:32:09
41,1,0.0217835160050954,1.08717139795589e-05,1.92100814469483e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:32:54
42,1,0.0218687662227789,1.08889596597203e-05,1.94782919216746e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:33:40
43,1,0.021805967680483,1.08978519509688e-05,1.93776133168717e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:34:26
44,1,0.021848592647938,1.08641429360835e-05,1.93868824036664e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:35:12
45,1,0.0218426255369883,1.08845155933992e-05,1.94658693270388e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:35:58
46,1,0.0217857896703839,1.08730197393091e-05,1.92867297634831e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:36:43
47,1,0.0218284176229904,1.08816407596106e-05,1.94209113302797e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:37:28
48,1,0.0217970156360555,1.08860839291293e-05,1.93706647411317e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:38:13
49,1,0.0218183295741793,1.08692333661877e-05,1.93752968165214e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:38:58
50,1,0.021815345717204,1.08794196945391e-05,1.94147193077251e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:39:43
51,1,0.0217869264964803,1.08736726641256e-05,1.93251816434152e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:40:31
52,1,0.0218082411717878,1.08779827193886e-05,1.93922916515195e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:41:16
53,1,0.0217925395111779,1.08802035603e-05,1.93671914940637e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:42:00
