Evaluation,Start,Kp,Ki,Kd,Objective,SuccessfulCases,FailedCases,Status,Timestamp
1,1,0.9,0.01,5e-08,4.32570264811998,3,0,valid,2026-08-06 09:54:04
2,1,0.895035932289686,0.01,5e-08,4.32570264811998,3,0,valid,2026-08-06 09:56:20
3,1,0.9,0.00945699119727695,5e-08,4.32570264811998,3,0,valid,2026-08-06 09:58:34
4,1,0.9,0.01,2.50593754342681e-08,4.32570264811998,3,0,valid,2026-08-06 10:00:48
5,1,0.896690052881938,0.00963544024451604,9.97630114699301e-08,4.32570264811998,3,0,valid,2026-08-06 10:03:00
6,1,0.899172302780176,0.00990790059243902,3.53973004420698e-08,4.32570264811998,3,0,valid,2026-08-06 10:05:14
7,1,0.897517328100006,0.01,5e-08,4.32570264811998,3,0,valid,2026-08-06 10:07:27
8,1,0.9,0.00972562136266834,5e-08,4.32570264811998,3,0,valid,2026-08-06 10:09:42
9,1,0.9,0.01,3.53973004420698e-08,4.32570264811998,3,0,valid,2026-08-06 10:11:54
10,1,0.898344745106336,0.00981644124994488,7.06268463292417e-08,4.32570264811998,3,0,valid,2026-08-06 10:14:07
11,1,0.899586134016966,0.00995387025298193,4.20697642806005e-08,4.32570264811998,3,0,valid,2026-08-06 10:16:18
12,1,0.898758506429894,0.01,5e-08,4.32570264811998,3,0,valid,2026-08-06 10:18:33
13,1,0.9,0.00986209094937302,5e-08,4.32570264811998,3,0,valid,2026-08-06 10:20:47
14,1,0.9,0.01,4.20697642806005e-08,4.32570264811998,3,0,valid,2026-08-06 10:23:02
15,1,0.899172302780176,0.00990790059243902,5.9425099427274e-08,4.32570264811998,3,0,valid,2026-08-06 10:25:17
16,1,0.89979306267397,0.00997691511155931,4.58638008501777e-08,4.32570264811998,3,0,valid,2026-08-06 10:27:33
17,1,0.899379214046522,0.01,5e-08,4.32570264811998,3,0,valid,2026-08-06 10:29:49
18,1,0.9,0.00993086541609958,5e-08,4.32570264811998,3,0,valid,2026-08-06 10:32:01
19,1,0.9,0.01,4.58638008501777e-08,4.32570264811998,3,0,valid,2026-08-06 10:34:15
20,1,0.899586134016966,0.00995387025298193,5.45092193626877e-08,4.32570264811998,3,0,valid,2026-08-06 10:36:28
21,1,0.899896530254453,0.00998845255154816,4.78872639289748e-08,4.32570264811998,3,0,valid,2026-08-06 10:38:42
22,1,0.899689597260744,0.01,5e-08,4.32570264811998,3,0,valid,2026-08-06 10:40:56
23,1,0.9,0.00996538767904107,5e-08,4.32570264811998,3,0,valid,2026-08-06 10:43:09
24,1,0.9,0.01,4.78872639289748e-08,4.32570264811998,3,0,valid,2026-08-06 10:45:25
25,1,0.89979306267397,0.00997691511155931,5.22059476826104e-08,4.32570264811998,3,0,valid,2026-08-06 10:47:40
